Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,META,MSFT,NVDA,TSLA,TSM,MCD,BA
2020-08-31,101.40455793933894,101.24730280026571,102.54309843934777,100.31688099786962,100.74122404471264,101.19050988865905,101.30860180257095,101.46891936203822,101.94383502035413,98.07316551016896,99.44090784576893,98.71081769770662
2020-09-01,101.97031932180955,101.41395704673403,103.27038531199288,100.0777148720516,101.03012187932248,101.04313412376835,101.17621131787844,101.93256166054535,101.33821551716991,99.8105450908622,98.15720414117717,98.52412663185518
2020-09-02,100.84754610216008,100.97936093616136,103.05402650684083,100.11596906360386,101.89655619816602,101.10125616174646,101.20627205361204,102.10250665147343,100.5205594449163,99.29551025597168,98.4143010111453,98.7184596807741
2020-09-03,99.42679666688772,100.22748373187969,101.44914467573305,102.17166256959084,100.88558871430033,100.90514792577285,99.63054311493786,100.46096291247557,99.78266353372106,101.1566847250603,101.27213189746242,98.89892759687126
2020-09-04,99.59062347541254,99.06467522764062,102.34693257414992,102.415310465876,99.46412833673683,100.2700296587124,99.22451252774142,99.66950065862726,100.0429142276875,99.58794929118687,100.95733341702612,100.03072990455962
2020-09-08,98.33785015866681,97.62398944935579,101.72594692184695,102.87736237813081,98.5490130992128,99.79925916694012,97.98644814876123,98.81822059304419,97.77499702421586,100.37663126822079,102.99820435739899,98.45569025754607
2020-09-09,98.84881439438831,99.115433505842,101.6312296673613,101.78597459330598,98.33735098981755,99.36985361786088,99.08979885623656,100.13732127630652,98.71164304812787,101.03082548540867,101.85911415457556,97.90588354979242
2020-09-10,98.4298264124594,98.44501794317429,101.61179103688103,101.85134650842873,98.64860636220968,99.14084504573972,98.63943770301763,99.6069441941549,99.05277610764803,101.80762905130209,102.43904467372629,98.22958068370949
2020-09-11,98.2821962814217,97.79555264416759,101.5351137829826,101.58919358993161,98.41042201188442,98.9148351810488,98.54381406128175,99.12982633479976,99.15229621690565,101.48156366665174,102.0226512709888,98.99063098712564
2020-09-14,98.89968131560187,97.67670393824243,101.2033904045736,101.25661748306472,97.8977521266404,98.42335293518454,98.50952523308527,100.59504261112612,100.32810681492892,101.80337870690786,101.65469459802651,99.76269332744695
2020-09-15,98.95424967851022,98.46456274504725,101.2385777317994,100.70044832357914,98.71317029486286,98.97188261605632,99.02611947457488,100.65658133380123,100.98793689390865,103.20399348335675,101.49435074604685,99.15922042091371
2020-09-16,98.55377094938065,98.11094097991882,101.21296437461434,100.9234666971609,98.4682690078188,98.28671032125696,98.68592381467302,99.54568123162879,100.73471398466039,101.67180179883248,101.67805209970425,100.74347276493017
2020-09-17,98.60409888209117,98.065262144714,101.21860149880214,100.87068606738721,98.38205812406486,97.86473256256917,98.7937027334412,99.66220207602753,100.32152236269937,101.40862978769027,101.39536340155483,101.16921666929333
2020-09-18,98.43176414024806,98.24043332067608,100.95886209006056,101.27984994374678,98.21267162043158,98.27704662815813,98.89169689308413,99.2377221455095,100.91764226198254,100.94514094236847,101.23979010783637,99.7582586863932
2020-09-21,99.39030002381735,98.80049654330693,100.83255746401413,100.56280145832768,98.40559541589809,98.41063836228751,99.82690491717948,100.53862251431066,101.13688613818823,101.2983769210658,100.93084224796226,98.84829542535566
2020-09-22,99.60273689750609,100.13659166815626,101.49173802972179,100.19144181104278,98.9237200447914,98.96276258525866,100.53205700860539,100.51370336710347,100.49328063552412,100.79042618298925,100.51614699306934,98.63290831249815
